puissance maximale,modele,marque,annee,carrosserie,portes,sieges,cylindree,transmission,moteur,production,position du moteur,classe,annees de production
,250 MM, Ferrari,,,,,,"arrière, 4 rapports","V12 à 60° antérieurs et longitudinaux « Colombo », 24s",,Centrale,Barquette de course  Sportive de prestige,1953
,340 MM,Ferrari,,,,,,,,,,,
,375 MM Barchetta,Ferrari,,,,,,,,,,,
,375 MM Spider Competizione,Ferrari,,,,,,,,,,,
,250 Monza,Ferrari,,,,,,,,,,,
,375 Plus,Ferrari,,,,,,,,,,,
,750 Monza,Ferrari,,,,,,,,,,,
,250 GT Compétition,Ferrari,,,,,,,,,,,
340 à 400 ch,410 S, Ferrari,,Coupé 2-portes,,,963,Propulsion,"V12, 5 L",34 exemplaire(s),Longitudinal avant,Sportive de prestige,1956
,850 Monza,Ferrari,,,,,,,,,,,
,250 GT Tour de France,Ferrari,,,,,,,,,,,
,290 MM,Ferrari,,,,,,,,,,,
,290 S,Ferrari,,,,,,,,,,,
,625 LM,Ferrari,,,,,,,,,,,
280 ch  (206 kW),860 Monza, Ferrari,,Monoplace,,,3431,,4 cylindres en ligne,,Avant,Barquette de course  Sportive de prestige,1954
,315 S,Ferrari,,,,,,,,,,,
,335 S,Ferrari,,,,,,,,,,,
,500 TR Corsa,Ferrari,,,,,,,,,,,
304 ch  (224 kW),250 Testa Rossa, Ferrari,,,,,953,Propulsion,"V12 « Colombo » 60°, 24s",33 exemplaire(s),Longitudinale avant,Barquette de course  Sportive de prestige,1957
,250 Testarossa NART,Ferrari,,,,,,,,,,,
,Dino 196 S,Ferrari,,,,,,,,,,,
220 ch,Dino 206 S, Dino / Ferrari,,Berlinetta ou spyder biplace,,,1986,Propulsion,"Moteur V6 à 65°, injection Lucas",18 exemplaire(s),Centrale,Sport-prototypes,1966
300,250 GTO,Ferrari,,Coupé,,,2953,Propulsion,Moteur V12 3 L,36 exemplaire(s),Central avant longitudinal,sportive de prestige,1962
,330 GTO,Ferrari,,,,,,,,,,,
,330 TR/LM,Ferrari,,,,,,,,,,,
,250 P,Ferrari,,,,,,,,,,,
320 ch,250 LM, Ferrari,,Coupé 2 portes,,,2953,Propulsion,V12 à 60° « Colombo »,32 exemplaire(s),Longitudinale centrale arrière,Berlinette de course  Sportive de prestige,1963
,330 P2,Ferrari,,,,,,,,,,,
,330 P3,Ferrari,,,,,,,,,,,
,330 P4,Ferrari,,,,,,,,,,,
450 ch DIN,412 P, Ferrari,,,,,,Propulsion,V12 4.0,,Longitudinale arrière,,1967
,312 Can-Am,Ferrari,,,,,,,,,,,
,312 P, Ferrari,,Spider,,,,Propulsion,12 cylindres à plat de 3 litres,,,,1971
,512 S, Ferrari,,,,,,Propulsion,V12 5.0,,Longitudinale arrière,,1970
,312 PB, Ferrari,,Spider,,,,Propulsion,12 cylindres à plat de 3 litres,,,,1971
255,308 GR4, Ferrari,,Coupé & cabriolet (targa),,,926,Propulsion,"Ferrari V8 F106AB, 16 soupapes, 4 carburateurs double corps Weber 40 DCNF / injection",149,,Coupé & découvrable,1975
,BB 512 LM,Ferrari,,,,,,,,,,,
