Price,Immat,KM,Power,modele,marque,annee,couleurexterieure,interieur,couleurexterieure,typedepeinture,couleuroriginale,versionpays,interieur,carrosserie,portes,sieges,cylindree,transmission
40000,01/1990,39000,300,mondial,ferrari,1990,rouge,cuirnoir,rouge,,,royaume-uni,cuirnoir,coupe,2,4,3.405cm³,boîtemanuelle
45000,11/1990,193000,300,348,ferrari,1990,rouge,,rouge,,,,,,,,,
46700,01/1990,52300,300,mondial,ferrari,1990,rouge,cuirbeige,rouge,,,italie,cuirbeige,coupe,2,4,3.405cm³,boîtemanuelle
46999,03/1990,41000,299,mondial,ferrari,1990,rouge,cuirnoir,rouge,,rossocorsa,france,cuirnoir,cabriolet,2,4,3.405cm³,boîtemanuelle
47000,01/1990,90000,258,348,ferrari,1990,rouge,,rouge,,,,,,,,,
47000,06/1990,50000,300,mondial,ferrari,1990,rouge,,rouge,,,,,coupe,2,4,3.405cm³,boîtemanuelle
47900,07/1990,86227,295,mondial,ferrari,1990,rouge,cuirnoir,rouge,uni,rosso,,cuirnoir,coupe,2,4,3.405cm³,boîtemanuelle
47900,12/1990,86636,300,mondial,ferrari,1990,rouge,cuirnoir,rouge,,,italie,cuirnoir,coupe,3,4,3.405cm³,boîtemanuelle
49500,04/1990,29150,300,mondial,ferrari,1990,bleu,cuirnoir,bleu,metallise,blusera106a18,italie,cuirnoir,coupe,2,4,3.405cm³,boîtemanuelle
49500,03/1990,60000,302,348,ferrari,1990,argent,cuirnoir,argent,,,,cuirnoir,coupe,2,2,,
49900,03/1990,48000,300,mondial,ferrari,1990,rouge,cuirnoir,rouge,metallise,,belgique,cuirnoir,cabriolet,2,4,3.405cm³,boîtemanuelle
49950,07/1990,45232,300,mondial,ferrari,1990,rouge,cuirnoir,rouge,,rossocorsa,belgique,cuirnoir,cabriolet,2,4,3.405cm³,boîtemanuelle
49990,05/1990,65000,269,mondial,ferrari,1990,jaune,cuirnoir,jaune,,,,cuirnoir,cabriolet,2,4,3.186cm³,boîtemanuelle
49999,03/1990,55907,300,348,ferrari,1990,rouge,cuirnoir,rouge,,rood,,cuirnoir,coupe,2,,3.405cm³,boîtemanuelle
50000,01/1990,39800,295,mondial,ferrari,1990,rouge,,rouge,,,,,coupe,2,4,3.405cm³,boîtemanuelle
52000,05/1990,49500,296,348,ferrari,1990,rouge,cuirnoir,rouge,,,,cuirnoir,coupe,2,2,3.400cm³,boîtemanuelle
53500,07/1990,57200,299,mondial,ferrari,1990,blanc,cuirautres,blanc,,biancofer100,suisse,cuirautres,cabriolet,,4,3.400cm³,boîtemanuelle
55500,06/1990,79800,295,mondial,ferrari,1990,argent,cuirbleu,argent,metallise,,italie,cuirbleu,cabriolet,2,4,3.405cm³,boîtemanuelle
55900,05/1990,15200,,mondial,ferrari,1990,rouge,,rouge,,rouge,,,,2,,3.400cm³,boîtemanuelle
55900,01/1990,81000,295,348,ferrari,1990,rouge,,rouge,,,,,coupe,2,2,3.405cm³,boîtemanuelle
56500,01/1990,89500,302,348,ferrari,1990,rouge,cuirnoir,rouge,,,pays-bas,cuirnoir,coupe,2,2,3.405cm³,boîtemanuelle
57000,01/1990,19000,295,348,ferrari,1990,rouge,cuirrouge,rouge,metallise,,italie,cuirrouge,coupe,2,2,3.405cm³,boîtemanuelle
59500,03/1990,42500,224,308,ferrari,1990,rouge,,rouge,,,,,coupe,,,3.000cm³,boîtemanuelle
59500,01/1990,44000,295,348,ferrari,1990,bleu,cuirbeige,bleu,metallise,,,cuirbeige,cabriolet,2,2,3.405cm³,boîtemanuelle
59890,04/1990,40500,295,348,ferrari,1990,rouge,cuirnoir,rouge,,rossocorsa,allemagne,cuirnoir,coupe,2,2,3.405cm³,boîtemanuelle
59995,07/1990,74042,300,348,ferrari,1990,rouge,cuir,rouge,,rood,,cuir,coupe,2,,3.405cm³,boîtemanuelle
59999,01/1990,50023,300,348,ferrari,1990,rouge,,rouge,,,,,coupe,2,2,3.405cm³,boîtemanuelle
61900,06/1990,43000,295,348,ferrari,1990,rouge,,rouge,,,,,coupe,,,3.405cm³,boîtemanuelle
64900,05/1990,26620,295,348,ferrari,1990,rouge,,rouge,,,,,coupe,2,2,3.405cm³,boîtemanuelle
65000,02/1990,27000,300,348,ferrari,1990,rouge,,rouge,,,,,,,,,
65000,01/1990,44000,295,348,ferrari,1990,rouge,cuirbeige,rouge,,,,cuirbeige,cabriolet,2,2,3.405cm³,boîtemanuelle
65000,04/1990,35000,295,348,ferrari,1990,rouge,,rouge,,,,,coupe,2,2,3.405cm³,boîtemanuelle
65000,01/1990,84562,300,348,ferrari,1990,rouge,cuirnoir,rouge,,rossocorsa,italie,cuirnoir,coupe,2,2,3.405cm³,boîtemanuelle
65000,03/1990,41485,300,mondial,ferrari,1990,rouge,cuirnoir,rouge,,,italie,cuirnoir,cabriolet,2,4,3.405cm³,boîtemanuelle
65000,01/1990,65000,300,mondial,ferrari,1990,rouge,cuirnoir,rouge,,,italie,cuirnoir,cabriolet,2,4,3.405cm³,boîtemanuelle
65900,12/1990,15830,299,348,ferrari,1990,rouge,cuirbeige,rouge,,,,cuirbeige,coupe,2,2,3.405cm³,boîtemanuelle
66000,04/1990,37000,295,348,ferrari,1990,rouge,,rouge,,,,,coupe,2,2,3.405cm³,boîtemanuelle
69900,08/1990,55030,,348,ferrari,1990,jaune,,jaune,,jaune,,,,,,,
69990,08/1990,21500,299,348,ferrari,1990,rouge,cuirnoir,rouge,metallise,,france,cuirnoir,coupe,2,4,3.405cm³,boîtemanuelle
70000,01/1990,65000,295,mondial,ferrari,1990,rouge,,rouge,,,,,cabriolet,2,4,3.405cm³,boîtemanuelle
70200,01/1990,28981,,mondial,ferrari,1990,,,,,autre,,,coupe,,,,boîtemanuelle
75000,03/1990,49000,300,348,ferrari,1990,noir,cuirbeige,noir,,,etats-unis,cuirbeige,cabriolet,2,2,,boîtemanuelle
84000,03/1990,22818,254,208,ferrari,1990,rouge,cuirnoir,rouge,,,italie,cuirnoir,cabriolet,2,2,1.990cm³,boîtemanuelle
84900,08/1990,133229,390,testarossa,ferrari,1990,rouge,noir,rouge,,rossomisano,italie,noir,coupe,2,2,4.942cm³,boîtemanuelle
88900,01/1990,22500,300,348,ferrari,1990,rouge,cuirnoir,rouge,,,,cuirnoir,coupe,2,2,3.405cm³,boîtemanuelle
89000,02/1990,41500,390,testarossa,ferrari,1990,rouge,cuirnoir,rouge,,rossocorsa,,cuirnoir,coupe,2,2,4.942cm³,boîtemanuelle
89800,05/1990,48400,390,testarossa,ferrari,1990,jaune,cuirnoir,jaune,,giallo,,cuirnoir,coupe,2,2,4.943cm³,boîtemanuelle
97500,01/1990,65000,390,testarossa,ferrari,1990,rouge,,rouge,,,,,coupe,,,,
97500,05/1990,32090,389,testarossa,ferrari,1990,noir,cuirbeige,noir,metallise,,,cuirbeige,coupe,2,2,4.942cm³,boîtemanuelle
99000,06/1990,27500,390,testarossa,ferrari,1990,rouge,cuirnoir,rouge,,rossocorsa,,cuirnoir,coupe,,,4.943cm³,boîtemanuelle
99900,07/1990,42348,390,testarossa,ferrari,1990,rouge,cuirnoir,rouge,,rossoferrari,,cuirnoir,coupe,2,2,4.942cm³,boîtemanuelle
100000,07/1990,48122,390,testarossa,ferrari,1990,noir,alcantarabeige,noir,metallise,,,alcantarabeige,coupe,2,2,4.942cm³,boîtemanuelle
110000,01/1990,38607,390,testarossa,ferrari,1990,jaune,cuirnoir,jaune,,,,cuirnoir,coupe,2,2,4.943cm³,boîtemanuelle
110110,05/1990,18789,379,testarossa,ferrari,1990,rouge,cuirrouge,rouge,metallise,,,cuirrouge,coupe,2,2,4.941cm³,boîtemanuelle
